period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_end_in_years,period_begin_in_months,period_end_in_months
2018-01-01,2018-01-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,271110.0,296579.0,139.0,148.0,275706.0,1004294.0,3.6426178311840287,56.0,0.978189756920664,0.2105237862519832,,2024-11-12 14:08:32,2018,2018,Jan,Jan
2014-12-01,2014-12-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,228095.0,218173.0,115.0,113.0,343119.0,1358662.0,3.959734234763344,70.0,0.9696682321343884,0.1723671661614247,,2024-11-12 14:08:32,2014,2014,Dec,Dec
2024-06-01,2024-06-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,442369.0,447319.0,240.0,244.0,468840.0,1275044.0,2.7195703467242285,32.0,0.9988491697139532,0.3510111554894287,,2024-11-12 14:08:32,2024,2024,Jun,Jun
2017-03-01,2017-03-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,257757.0,289219.0,139.0,149.0,517052.0,1475696.0,2.854055836540073,50.0,0.9816865654575688,0.2378445243662159,,2024-11-12 14:08:32,2017,2017,Mar,Mar
2012-08-01,2012-08-31,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,158663.0,159574.0,135.0,136.0,56437.0,235353.0,4.170155000699517,76.0,0.9658950826220029,0.1853689661001645,,2024-11-12 14:08:32,2012,2012,Aug,Aug
2020-11-01,2020-11-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,334431.0,328689.0,179.0,183.0,585244.0,993946.0,1.6983457093463905,28.0,0.995536335530425,0.3537633647183198,,2024-11-12 14:08:32,2020,2020,Nov,Nov
2015-02-01,2015-02-28,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,220479.0,257470.0,113.0,126.0,257512.0,1359747.0,5.280322140147676,79.0,0.9703588346577944,0.1840312351477326,,2024-11-12 14:08:32,2015,2015,Feb,Feb
2016-08-01,2016-08-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,230329.0,235364.0,144.0,147.0,52769.0,134803.0,2.554594667367416,37.0,0.9863125403921684,0.2455311059656731,,2024-11-12 14:08:32,2016,2016,Aug,Aug
2016-03-01,2016-03-31,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,212114.0,233439.0,182.0,196.0,56165.0,194180.0,3.457312875620194,50.0,0.9770799139824214,0.2057484264114104,,2024-11-12 14:08:32,2016,2016,Mar,Mar
2016-12-01,2016-12-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,236931.0,218016.0,144.0,139.0,44696.0,106443.0,2.381504482712956,47.0,0.9819694073815816,0.2135743960301309,,2024-11-12 14:08:32,2016,2016,Dec,Dec
2018-10-01,2018-10-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,286799.0,298267.0,148.0,152.0,403730.0,1313594.0,3.253643468057537,45.0,0.9806799976814546,0.2241935156699827,,2024-11-12 14:08:32,2018,2018,Oct,Oct
2024-04-01,2024-04-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,451430.0,477637.0,233.0,238.0,344949.0,828478.0,2.401736834148532,35.0,0.9971851831451116,0.3393300345604935,,2024-11-12 14:08:32,2024,2024,Apr,Apr
2018-12-01,2018-12-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,245551.888569097,259117.44648563,210.417847427515,226.602697995642,54815.1756791089,177493.504713756,3.33096207410101,40.7218623050475,0.981381558404543,0.1951602253731989,,2024-11-12 00:00:00,2018,2018,Dec,Dec
2013-06-01,2013-06-30,30,national,11,1400,t,National,U.S.,US,All Residential,-1,205242.264776927,215660.74022024,111.264538189949,117.465864734128,447131.191315629,1846964.1112709097,4.1441199379134,63.7976440206867,0.973834187135638,0.224588871822183,,2024-11-12 00:00:00,2013,2013,Jun,Jun
2022-01-01,2022-01-31,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,414594.08976912,420631.336056807,212.7318967748,216.088621527898,487264.72100964095,597159.70564763,1.16224111498844,15.1960957628194,1.01506518715861,0.552495620842946,,2024-11-12 00:00:00,2022,2022,Jan,Jan
2021-08-01,2021-08-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,307683.284117855,314125.799153111,276.859622872358,280.437201966409,69255.2215028176,124520.777479321,1.94554384408157,27.6339241938179,1.00123505009868,0.3683736025941489,,2024-11-12 00:00:00,2021,2021,Aug,Aug
2024-02-01,2024-02-29,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,354047.396209021,358930.525865095,307.925888695172,314.632878183996,45662.8168051674,157116.812056343,3.30591437514706,39.6635384093181,0.988718153530268,0.269779718819506,,2024-11-12 00:00:00,2024,2024,Feb,Feb
2016-11-01,2016-11-30,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,257441.311025034,269257.150705081,139.484227951096,143.567566666841,511175.183861722,1573088.7463027,3.18857303875715,48.7240822208665,0.981658033594826,0.2302584425395269,,2024-11-12 00:00:00,2016,2016,Nov,Nov
2012-02-01,2012-02-29,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,142113.371491806,158402.277347602,121.037455092759,135.538473222672,47443.5804121705,272671.782097025,5.8870351558799,85.62437853026769,0.9567702346565709,0.17225190338386,,2024-11-12 00:00:00,2012,2012,Feb,Feb
2013-10-01,2013-10-31,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,212485.737455713,221231.29250244,116.096714681667,119.31364944977,430166.932425626,1817577.3658477,4.32523549105448,60.4255359306608,0.975989947291648,0.2217068121665299,,2024-11-12 00:00:00,2013,2013,Oct,Oct
2020-01-01,2020-01-31,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,302146.904459503,316207.882333078,161.65307492997,167.925555162734,532411.339368375,1402863.13158548,2.83199795018626,43.5044555380265,0.985685065681526,0.233463255709937,,2024-11-12 00:00:00,2020,2020,Jan,Jan
2021-01-01,2021-01-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,287131.55752873,302431.82771435,250.52916110347496,271.101541689254,74353.6214147472,156237.763497473,2.0588907372088694,35.0958522154364,0.989330216326556,0.2646073808837889,,2024-11-12 00:00:00,2021,2021,Jan,Jan
2021-07-01,2021-07-31,30,national,11,1400,t,National,U.S.,US,Single Units Only,-2,377164.292660964,377390.668893898,205.811449609453,206.239159798993,577568.015565376,799296.1822979371,1.46175372495679,18.7429269592356,1.01785466231982,0.489456122782977,,2024-11-12 00:00:00,2021,2021,Jul,Jul
2018-05-01,2018-05-31,30,national,11,1400,t,National,U.S.,US,All Residential,-1,280485.327497992,293890.754905616,151.592910537847,156.400708851742,524663.875039591,1506254.92133218,2.86994446988344,40.6242045399568,0.982906374963005,0.2571724310122829,,2024-11-12 00:00:00,2018,2018,May,May
2016-09-01,2016-09-30,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,259811.87461020096,275612.494806104,130.979184140151,136.807577500123,399591.490241606,1327195.22838929,3.36198306831044,51.4829475820059,0.980528397748904,0.231335833626649,,2024-11-12 00:00:00,2016,2016,Sep,Sep
